Year,Area,MPA_Status,meannpp,senpp,meanorbv,seorbv,meansst,sesst,meanmaxsst,semaxsst,meanwh,sewh
2008,Point Lobos,REF,862.5396626,50.61772448,446.6480913,53.5124255,11.739748,0.083922684,19.6721,1.765092479,1.622181646,0.038281713
2008,Cape Mendocino,MPA,994.9691521,13.56157948,781.8959018,43.84042018,10.12217652,0.010102394,14.511275,0.069691929,2.087643606,0.038252772
2008,Cape Mendocino,REF,1097.776589,8.755528537,764.4313282,28.51972793,10.25129696,0.017542958,14.5801566,0.038438041,2.103937917,0.025297934
2008,South La Jolla,MPA,1558.409836,42.10394087,147.2080351,13.30426627,16.75646691,0.029096155,22.93904545,0.057737568,1.048789797,0.016280227
2008,South La Jolla,REF,1483.091682,18.37129304,167.0021475,23.32342665,16.92488333,0.034272007,23.34656667,0.159463668,1.060381149,0.019223647
2008,Stewarts Point,MPA,1123.368183,45.3280553,355.6301414,38.63546997,10.63058388,0.087564476,15.0054875,0.149012393,1.49904241,0.038590033
2008,Stewarts Point,REF,1274.08177,24.37624898,317.4806701,34.52153009,10.399861,0.036587052,15.67012,0.583041904,1.361275527,0.03430623
2008,Swamis,MPA,2146.808275,73.54140046,111.1579937,12.99188794,17.1156795,0.045813148,23.31315,0.2513958,0.864286558,0.015294065
2008,Swamis,REF,2355.335749,115.3896782,107.3693303,10.74333616,16.856564,0.098550642,23.53232727,0.207565582,0.865854116,0.012219627
2008,Ten Mile,MPA,1357.106401,59.29514441,426.6678748,34.85685788,10.96424815,0.037184819,19.25049,0.798646857,1.670956588,0.044501641
2008,Ten Mile,REF,1344.404398,30.83659302,445.7087448,28.87938667,10.69785588,0.04603196,16.07023333,0.230692004,1.65613587,0.032119913
2009,Anacapa Island,MPA,1032.03919,7.638338407,45.93180292,2.888331082,16.00382167,0.102810455,21.2866,0.305649977,0.707451255,0.011082954
2009,Anacapa Island,REF,1060.124206,31.4136203,39.82685047,2.376747249,15.97669943,0.088679671,21.51064286,0.119643428,0.693358072,0.011025686
2009,Ano Nuevo,MPA,2056.202083,44.06680652,225.4216513,12.49424185,11.86424886,0.043749206,14.47530909,0.166486379,1.469451048,0.035784165
2009,Ano Nuevo,REF,1827.573696,150.2322528,211.6513294,11.15759708,11.60260218,0.055698929,14.83956364,0.253599392,1.513560694,0.033174259
2009,Bodega Head,MPA,1875.058041,52.77780555,244.4736052,12.92917278,11.00023438,0.044311312,14.91493846,0.099013169,1.675839001,0.024539004
2009,Bodega Head,REF,1955.15271,80.06037961,262.4438721,18.74024869,11.25612936,0.034550245,15.09783571,0.183796702,1.587369424,0.030540912
2009,Carrington Point,MPA,1950.166146,15.39160513,46.79655475,1.163022851,14.1523459,0.018922632,18.7239,0.143394457,0.755192365,0.006480572
2009,Carrington Point,REF,1893.810075,21.7504392,41.75193631,1.421245204,14.13413506,0.040278491,18.60048235,0.240769831,0.720135538,0.008484032
2009,Piedras Blancas,MPA,1603.95792,33.75682951,265.075595,10.4699728,12.28295613,0.040833138,15.40962903,0.094872407,1.582806626,0.019393594
2009,Piedras Blancas,REF,1686.480826,40.69086886,114.4803367,3.954381757,12.2986034,0.041009685,15.730624,0.050219981,1.127823932,0.010695325
2009,Point Buchon,MPA,1686.926193,88.18338336,240.6496367,19.02943148,12.63059538,0.060072164,15.17305,0.207884497,1.542011403,0.036216398
2009,Point Buchon,REF,2078.928034,106.0648914,252.2659142,17.04724562,12.64139836,0.045211666,16.21521818,0.199285452,1.578785947,0.030427669
2009,Point Lobos,MPA,860.3703717,59.94832865,219.430221,15.0837242,11.97249386,0.051568873,14.28071429,0.182510878,1.465129462,0.039153724
2009,Point Lobos,REF,906.4112695,74.38407567,229.2029579,13.39235622,12.05245843,0.113823009,14.7826,0.46765684,1.51491577,0.033527243
2009,Cape Mendocino,MPA,1279.016161,25.66308749,500.8525619,21.94405869,10.37698379,0.015670818,13.79106667,0.119875174,2.034828409,0.035229184
2009,Cape Mendocino,REF,1483.555341,17.81614256,507.0093981,15.18020107,10.59426528,0.01381672,15.50050377,0.378360717,2.049600835,0.023449975
2009,South La Jolla,MPA,1432.527771,43.09538059,137.7074289,8.687246968,17.92557745,0.092932964,24.47589091,0.064816843,0.997219922,0.014075815
2009,South La Jolla,REF,1240.882192,37.10242999,148.7885995,9.926737855,18.33398378,0.169161235,24.96332222,0.126787236,1.004334786,0.016697255
2009,Stewarts Point,MPA,887.005028,62.6983952,211.9037649,13.01411396,10.2756115,0.085986761,13.08035,0.135764236,1.585782119,0.027490817
2009,Stewarts Point,REF,1320.203259,80.17328275,184.9610118,10.12674922,10.4293405,0.060083471,13.45006,0.132998729,1.449443437,0.024620839
2009,Swamis,MPA,1860.420307,36.62767243,102.9969524,7.959179955,19.88718713,0.416329591,25.0532625,0.082157012,0.814003806,0.012681517
2009,Swamis,REF,2129.411625,123.6195134,102.7947882,6.750360708,19.07147864,0.243100069,24.83992727,0.066316791,0.811943191,0.009906322
2009,Ten Mile,MPA,1422.984314,62.60334189,294.0603462,18.84730658,10.963829,0.094142988,15.01043,0.327137876,1.630180161,0.043882481
2009,Ten Mile,REF,1711.310718,41.34695703,317.5270061,16.10566196,10.9727824,0.035537885,15.637525,0.151518976,1.619396187,0.030803597
2010,Anacapa Island,MPA,1434.383257,26.21792984,48.70345472,3.307473523,14.71387717,0.034184888,21.289126,0.071838991,0.772503035,0.014757991
2010,Anacapa Island,REF,1329.759247,34.32011033,41.38530995,2.804924638,14.89922557,0.048060031,21.36128629,0.026671671,0.753132834,0.013894739
2010,Ano Nuevo,MPA,2075.326079,67.62147491,365.9593845,29.09623072,12.13022741,0.043394723,14.57091209,0.141345935,1.711080923,0.051845524
2010,Ano Nuevo,REF,2538.215998,120.5760734,337.3528833,25.50502857,12.397194,0.074473875,14.66993764,0.129378566,1.732068685,0.047358974
2010,Bodega Head,MPA,2196.120779,47.93823229,390.6184809,23.23976797,11.52114362,0.028458261,15.21242385,0.321422301,1.909163026,0.041448935
2010,Bodega Head,REF,2243.25066,59.37396289,447.8637523,44.45106813,11.44881318,0.061025843,14.85529743,0.151419739,1.828664948,0.050367211
