time,Year,Season,North California (38-42N),Central California (34.5-38N),Southern California (32-34.5N)
1991-01-31,1991,JFM,-2.0460475010875094,-1.5542131679897562,-1.0963289135056102
1991-04-30,1991,AMJ,-5.937630447383084,-6.328922049726214,-4.143503822331475
1991-07-31,1991,JAS,0.2477055394594545,-1.6820162303348263,-2.985870863903049
1991-10-31,1991,OND,-1.6629898836347239,-0.45100019603743113,0.5904226184890591
1992-01-31,1992,JFM,5.909925721934035,7.396273726991214,4.1847474236822
1992-04-30,1992,AMJ,8.625950224692485,9.385086526413941,3.6299723705651514
1992-07-31,1992,JAS,2.1658832917394295,1.5118895367805696,0.7453322159594373
1992-10-31,1992,OND,2.3173160038993035,3.466320439835466,1.2705757528772963
1993-01-31,1993,JFM,3.301912328887527,5.26687473902383,2.6242725809558487
1993-04-30,1993,AMJ,8.01919170162505,4.336223437697101,3.3600225510134747
1993-07-31,1993,JAS,-1.4693080228004893,1.1747421731347416,0.2442150526251646
1993-10-31,1993,OND,0.7950315727298802,1.8612608469288723,0.26359497652461994
1994-01-31,1994,JFM,0.283815230416141,0.431347210042072,0.26591740138676806
1994-04-30,1994,AMJ,-0.8222599809773427,-1.7512012282375313,-0.632039040476378
1994-07-31,1994,JAS,-1.805447048375017,-3.4043211198419323,-0.1684331842144398
1994-10-31,1994,OND,-2.791095161782339,-2.642689913473601,-0.6580663025739673
1995-01-31,1995,JFM,6.36831614538851,6.622486095233114,1.9104274610420635
1995-04-30,1995,AMJ,0.5625925423481157,0.5192256817659624,-1.6596230099263969
1995-07-31,1995,JAS,2.806390980866545,-0.2263161225496117,-0.4834286377685114
1995-10-31,1995,OND,0.9006355294100306,-0.7982600748152191,-0.3648808208714298
1996-01-31,1996,JFM,2.6632953680078995,2.0613989786775675,-0.4000658843404532
1996-04-30,1996,AMJ,-0.5578970220080138,-0.5245045943575549,0.3711288499167582
1996-07-31,1996,JAS,-2.4196178718234074,-3.058780955861269,-1.21703921899048
1996-10-31,1996,OND,0.6574296995651547,-0.926460373000902,-1.1939602476351048
1997-01-31,1997,JFM,-2.2628464220865574,-2.8083373465002253,-0.6953518029776181
1997-04-30,1997,AMJ,3.641882751072999,2.1913114014650494,4.117495030821036
1997-07-31,1997,JAS,7.650710441707426,5.751379457362848,4.892337808343935
1997-10-31,1997,OND,7.380722625678512,9.607318464435757,5.468636867608904
1998-01-31,1998,JFM,9.657980236708893,8.745901611145028,4.825646805781206
1998-04-30,1998,AMJ,4.162100259687917,4.888875742742305,0.16246437258248786
1998-07-31,1998,JAS,-1.7389320235409642,0.5791847818877626,0.4183182564250596
1998-10-31,1998,OND,-3.273131753073028,-6.3505057655226205,-3.0141844627230228
1999-01-31,1999,JFM,-2.4883408456251206,-5.448055554317767,-3.74664888731576
1999-04-30,1999,AMJ,-7.628873156214045,-8.148405760752224,-3.960673188430545
1999-07-31,1999,JAS,-2.4718735413856847,-4.2945941823297495,-3.680227392830288
1999-10-31,1999,OND,-4.479959082357491,-5.369409074376843,-3.6066371138893074
2000-01-31,2000,JFM,-0.5769481808471498,-1.6122281468715676,-2.587746543296254
2000-04-30,2000,AMJ,1.0804375887323794,0.2297015268310536,0.11070490375919786
2000-07-31,2000,JAS,-3.434092058650057,-3.1085823547879414,-1.4880286882586087
2000-10-31,2000,OND,-3.308450901848403,-3.9630772026358287,-2.565641596320968
2001-01-31,2001,JFM,-2.264401643658659,-1.466556739655583,-1.554809768638342
2001-04-30,2001,AMJ,-4.5716944670212785,-3.1088792243511434,-1.373377843958135
2001-07-31,2001,JAS,-3.934049344937037,-3.770298003943439,-2.385588519402973
2001-10-31,2001,OND,-0.4912362311510613,-1.804578772271747,-1.755014387250296
2002-01-31,2002,JFM,-3.3038776024475744,-5.379418410819813,-2.1465782502226913
2002-04-30,2002,AMJ,-4.478663411401998,-4.3100394709814225,-2.2996469933353247
2002-07-31,2002,JAS,-1.850027999240577,-2.698931445711653,-1.3305844056753453
2002-10-31,2002,OND,4.230512415695702,2.1375742790870826,0.5559300621655424
2003-01-31,2003,JFM,1.9032059704036843,1.038144912263945,1.7373311545229406
2003-04-30,2003,AMJ,1.9880881173303955,1.0038921288756433,-1.5663781439497348
2003-07-31,2003,JAS,-0.4729587410489546,0.03185005992769491,-0.765288810581895
2003-10-31,2003,OND,2.003164756190366,0.18300422312047337,-0.10056872379439824
2004-01-31,2004,JFM,0.10641013528906489,-0.945177099814651,-0.08980144478223523
2004-04-30,2004,AMJ,0.9013289244616399,-1.1480769021414061,0.9921166759347244
2004-07-31,2004,JAS,1.7768012594919533,0.9343355888133237,0.5994526399915914
2004-10-31,2004,OND,-0.1316838848030918,1.6083267555568272,0.2494500140300441
2005-01-31,2005,JFM,3.5475467526769577,5.8479538905210084,2.758986899268584
2005-04-30,2005,AMJ,5.120583974707824,2.458564925388896,0.9138448917312669
2005-07-31,2005,JAS,-1.6844813375594332,-1.2064150214038345,-1.1448419180636902
2005-10-31,2005,OND,0.26647534250592864,-1.8516474366480775,-1.5443119865051105
2006-01-31,2006,JFM,1.047284033125328,-0.7295539714261479,-2.328375911771584
2006-04-30,2006,AMJ,3.4884216879854546,4.784649592517661,1.285274309134027
2006-07-31,2006,JAS,-2.276727792732523,0.18210349190082858,1.4013786650650195
2006-10-31,2006,OND,-0.15509757070594227,-0.8442223337295421,0.26449399596428447
2007-01-31,2007,JFM,-5.638222695174178,-5.928920503358526,-2.1834959366264566
2007-04-30,2007,AMJ,-3.958433782227376,-4.606303684611413,-2.4618100197379347
